"";"H1_D";"H1_E";"H1_F";"H1_L4";"H1_L5";"H2_D";"H2_E";"H2_F";"H2_L4";"H2_L5";"H3_D";"H3_E";"H3_F";"H3_L4";"H3_L5";"H4_D";"H4_E";"H4_F";"H4_L4";"H4_L5";"H5_D";"H5_E";"H5_F";"H5_L4";"H5_L5";"H6_D";"H6_E";"H6_F";"H6_L4";"H6_L5";"H7_D";"H7_E";"H7_F";"H7_L4";"H7_L5";"H8_D";"H8_E";"H8_F";"H8_L4";"H8_L5";"H9_D";"H9_E";"H9_F";"H9_L4";"H9_L5";"H10_D";"H10_E";"H10_F";"H10_L4";"H10_L5";"H11_D";"H11_E";"H11_F";"H11_L4";"H11_L5";"H12_D";"H12_E";"H12_F";"H12_L4";"H12_L5"
"C1";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"C19";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0;0;1;0;0
"P2";1;0;1;0;0;1;0;0,888888888888889;0;0;0;0;0;0;0;0,727272727272727;0;0;0;0;1;0;0,05;0;0;0,666666666666667;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,846153846153846;0;0;0;0;1;0;0;0;0;0,888888888888889;0;0;0;0;1;0;0;0;0
"P3";0;0;0,133333333333333;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0,0666666666666667;0;1;0;0
"P4";0,75;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0,166666666666667;0;0;0;0;0;0;0;0;0;0,375;0;0;0;0;0,777777777777778;0;0;0;0;0;0;0;0;0;0,888888888888889;0;0;1;0;1;0;0;0;0;0,888888888888889;0;0;0;0;0,35;0;0;0;0
"P15";0,888888888888889;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0,0810810810810811;0;0;0,540540540540541;0;0;0;0;0;0;0,75;0;0,125;0;0;1;0;0;0;0;0,222222222222222;0;0,222222222222222;0;0;0,863636363636364;0;0,0454545454545455;0,454545454545455;0,0909090909090909;1;0;0;0;0;0,833333333333333;0;0;0;0;1;0;0;0;0
"P20";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,333333333333333;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P21";0,333333333333333;0;1;0;0;1;0;1;0;0;0;0;0;0,8;0;0;0;0;0,875;0,0625;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,933333333333333;0;0;0,733333333333333;0,133333333333333;1;0;0;0,636363636363636;0;1;0;0;0;0;1;0;0;0;0
"P23";0,0666666666666667;0;0,266666666666667;0;0,866666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0,0909090909090909;0;0,818181818181818;0,0769230769230769;0;0;0;0;0;0;0;0;0,6;0;0;0,09375;0;0,21875;0;0;0;0;0;0;0;0,0869565217391304;0;0,956521739130435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P27";0;0;0,111111111111111;0;0;0;0;0,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
